1,Jon Yang,AW00011000,54,50 and above,VIP,2013-05-03,150,3,8249,8,8,2749,294
2,Eugene Huang,AW00011001,49,40-49,VIP,2013-12-10,143,3,6384,11,10,2128,182
3,Ruben Torres,AW00011002,54,50 and above,VIP,2013-02-23,153,3,8114,4,4,2704,324
4,Christy Zhu,AW00011003,52,50 and above,VIP,2013-05-10,150,3,8139,9,9,2713,280
5,Elizabeth Johnson,AW00011004,46,40-49,VIP,2013-05-01,150,3,8196,6,6,2732,292
6,Julio Ruiz,AW00011005,49,40-49,VIP,2013-05-02,150,3,8121,6,6,2707,280
7,Janet Alvarez,AW00011006,49,40-49,VIP,2013-05-14,150,3,8119,5,5,2706,289
8,Marco Mehta,AW00011007,56,50 and above,VIP,2013-03-19,152,3,8211,8,8,2737,315
9,Rob Verhoff,AW00011008,50,50 and above,VIP,2013-03-02,152,3,8106,7,7,2702,311
10,Shannon Carlson,AW00011009,56,50 and above,VIP,2013-05-09,150,3,8091,5,5,2697,288
11,Jacquelyn Suarez,AW00011010,56,50 and above,VIP,2013-05-23,150,3,8088,4,4,2696,288
12,Curtis Lu,AW00011011,56,50 and above,VIP,2013-03-19,152,3,8133,4,4,2711,301
13,Lauren Walker,AW00011012,46,40-49,New,2013-10-15,145,2,81,5,5,40,11
14,Ian Jenkins,AW00011013,46,40-49,New,2014-01-21,142,2,114,5,5,57,12
15,Sydney Bennett,AW00011014,52,50 and above,New,2013-04-30,151,2,138,6,5,69,138
16,Chloe Young,AW00011015,41,40-49,New,2013-01-18,154,1,2501,3,3,2501,2501
17,Wyatt Hill,AW00011016,41,40-49,New,2013-02-09,153,1,2332,3,3,2332,2332
18,Shannon Wang,AW00011017,76,50 and above,VIP,2013-10-14,145,3,6434,4,4,2144,194
19,Clarence Rai,AW00011018,70,50 and above,VIP,2013-10-24,145,3,6533,7,7,2177,197
20,Luke Lal,AW00011019,42,40-49,New,2014-01-12,142,17,880,33,20,51,80
21,Jordan King,AW00011020,41,40-49,New,2012-12-29,155,1,2317,2,2,2317,2317
22,Destiny Wilson,AW00011021,41,40-49,New,2013-01-23,154,1,2372,3,3,2372,2372
23,Ethan Zhang,AW00011022,41,40-49,New,2013-01-20,154,1,2322,2,2,2322,2322
24,Seth Edwards,AW00011023,41,40-49,New,2014-01-14,142,2,122,6,6,61,11
25,Russell Xie,AW00011024,41,40-49,New,2013-07-26,148,2,56,6,5,28,56
26,Alejandro Beck,AW00011025,74,50 and above,VIP,2013-10-25,145,3,6577,6,6,2192,199
27,Harold Sai,AW00011026,74,50 and above,VIP,2013-10-15,145,3,6575,7,7,2191,199
28,Jessie Zhao,AW00011027,73,50 and above,VIP,2013-10-24,145,3,6591,9,9,2197,199
29,Jill Jimenez,AW00011028,74,50 and above,VIP,2013-10-07,145,3,6474,5,5,2158,196
30,Jimmy Moreno,AW00011029,73,50 and above,VIP,2013-11-11,144,3,6565,7,7,2188,193
31,Bethany Yuan,AW00011030,67,50 and above,VIP,2013-11-09,144,3,6471,4,4,2157,196
32,Theresa Ramos,AW00011031,72,50 and above,VIP,2013-11-13,144,3,6478,6,6,2159,196
33,Denise Stone,AW00011032,73,50 and above,VIP,2013-11-08,144,3,6525,10,10,2175,197
34,Jaime Nath,AW00011033,67,50 and above,VIP,2013-11-05,144,3,6495,7,7,2165,196
35,Ebony Gonzalez,AW00011034,73,50 and above,VIP,2013-11-10,144,3,6491,4,4,2163,196
36,Wendy Dominguez,AW00011035,72,50 and above,VIP,2013-11-15,144,3,6451,5,5,2150,195
37,Jennifer Russell,AW00011036,41,40-49,New,2013-01-22,154,1,2355,2,2,2355,2355
38,Chloe Garcia,AW00011037,42,40-49,New,2013-01-20,154,1,2374,7,7,2374,2374
39,Diana Hernandez,AW00011038,72,50 and above,VIP,2013-11-12,144,3,6437,3,3,2145,195
40,Marc Martin,AW00011039,71,50 and above,VIP,2013-11-11,144,3,6636,9,8,2212,201
41,Jesse Murphy,AW00011040,42,40-49,New,2013-04-03,151,1,2351,3,3,2351,2351
42,Amanda Carter,AW00011041,42,40-49,New,2013-01-14,154,1,2381,3,3,2381,2381
43,Megan Sanchez,AW00011042,43,40-49,New,2013-10-17,145,2,3112,3,3,1556,345
44,Nathan Simmons,AW00011043,44,40-49,New,2013-08-18,147,2,48,3,3,24,16
45,Adam Flores,AW00011044,71,50 and above,VIP,2013-11-08,144,3,6515,7,7,2171,197
46,Leonard Nara,AW00011045,70,50 and above,New,2013-10-29,145,2,115,4,4,57,19
47,Christine Yuan,AW00011046,70,50 and above,VIP,2013-11-12,144,3,6616,6,6,2205,200
48,Jaclyn Lu,AW00011047,70,50 and above,VIP,2013-11-19,144,3,6582,4,4,2194,199
